year_month,product,price,category
202308,Garlic moss,8.4,Vegetable
202308,Zucchini,2.73,Vegetable
202308,Lettuce,3.58,Vegetable
202308,Celery,3.76,Vegetable
202308,Rape,3.96,Vegetable
202308,Pumpkin,2.55,Vegetable
202308,Scallion,3.19,Vegetable
202308,Glass lettuce,4.91,Vegetable
202308,Cauliflower,3.76,Vegetable
202308,Ginger,16.29,Vegetable
202308,White radish,1.7,Vegetable
202308,Green pepper,3.53,Vegetable
202308,Tomato,3.35,Vegetable
202308,Potato,3.06,Vegetable
202308,Chinese cabbage,1.73,Vegetable
202308,Onion,2.32,Vegetable
202308,Eggplant,3.02,Vegetable
202308,Cabbage,2.04,Vegetable
202308,Cucumber,3.2,Vegetable
202308,Lotus root,6.57,Vegetable
202308,Beans,6.2,Vegetable
202308,Garlic,10,Vegetable
202308,Winter melon,1.86,Vegetable
202308,Mushroom,12.89,Vegetable
202308,Chinese chives,4.47,Vegetable
202308,Carrot,2.54,Vegetable
202308,Spinach,8.48,Vegetable
202308,Oyster Mushroom,9.63,Vegetable
202307,Eggplant,2.95,Vegetable
202307,Oyster Mushroom,8.13,Vegetable
202307,White radish,1.73,Vegetable
202307,Cucumber,2.81,Vegetable
202307,Green pepper,3.76,Vegetable
202307,Zucchini,2.69,Vegetable
202307,Lettuce,3.29,Vegetable
202307,Chinese chives,3.8,Vegetable
202307,Garlic moss,8.39,Vegetable
202307,Rape,3.27,Vegetable
202307,Winter melon,2.26,Vegetable
202307,Lotus root,7.86,Vegetable
202307,Garlic,10.04,Vegetable
202307,Ginger,16.53,Vegetable
202307,Glass lettuce,3.95,Vegetable
202307,Carrot,2.79,Vegetable
202307,Potato,3.09,Vegetable
202307,Tomato,3.8,Vegetable
202307,Cauliflower,4.35,Vegetable
202307,Celery,4.02,Vegetable
202307,Beans,6.57,Vegetable
202307,Spinach,6.21,Vegetable
202307,Cabbage,2,Vegetable
202307,Chinese cabbage,1.81,Vegetable
202307,Mushroom,12.44,Vegetable
202307,Pumpkin,3,Vegetable
202307,Scallion,3.02,Vegetable
202307,Onion,2.21,Vegetable
202306,Eggplant,3.76,Vegetable
202306,Pumpkin,3.27,Vegetable
202306,Zucchini,3.07,Vegetable
202306,Winter melon,2.89,Vegetable
202306,Chinese cabbage,1.98,Vegetable
202306,Lettuce,3.44,Vegetable
202306,Cucumber,3.23,Vegetable
202306,White radish,1.73,Vegetable
202306,Lotus root,7.08,Vegetable
202306,Cauliflower,5.08,Vegetable
202306,Green pepper,4.26,Vegetable
202306,Rape,3,Vegetable
202306,Tomato,4.03,Vegetable
202306,Beans,7.42,Vegetable
202306,Ginger,16.58,Vegetable
202306,Scallion,3.2,Vegetable
202306,Spinach,5.3,Vegetable
202306,Celery,4.57,Vegetable
202306,Carrot,2.61,Vegetable
202306,Glass lettuce,3.93,Vegetable
202306,Mushroom,12.29,Vegetable
202306,Potato,3.42,Vegetable
202306,Cabbage,2.14,Vegetable
202306,Onion,2.1,Vegetable
202306,Garlic,9.22,Vegetable
202306,Chinese chives,3.75,Vegetable
202306,Garlic moss,8.27,Vegetable
202306,Oyster Mushroom,8,Vegetable
202305,Glass lettuce,3.75,Vegetable
202305,White radish,1.61,Vegetable
202305,Cucumber,3.55,Vegetable
202305,Chinese cabbage,1.52,Vegetable
202305,Winter melon,2.4,Vegetable
202305,Lettuce,3.34,Vegetable
202305,Garlic moss,8,Vegetable
202305,Oyster Mushroom,7.89,Vegetable
202305,Garlic,8.28,Vegetable
202305,Eggplant,4.7,Vegetable
202305,Carrot,2.62,Vegetable
202305,Zucchini,2.76,Vegetable
202305,Rape,2.99,Vegetable
202305,Lotus root,5.15,Vegetable
202305,Onion,2.13,Vegetable
202305,Tomato,4.43,Vegetable
202305,Celery,3.81,Vegetable
202305,Cabbage,1.87,Vegetable
202305,Pumpkin,3.55,Vegetable
202305,Spinach,4.61,Vegetable
202305,Potato,3.75,Vegetable
202305,Green pepper,4.97,Vegetable
202305,Chinese chives,3.67,Vegetable
202305,Mushroom,12.39,Vegetable
202305,Ginger,15.55,Vegetable
202305,Scallion,2.79,Vegetable
202305,Cauliflower,4.28,Vegetable
202305,Beans,8.83,Vegetable
202304,Carrot,2.6,Vegetable
202304,Chinese cabbage,1.23,Vegetable
202304,Lettuce,3.45,Vegetable
202304,Glass lettuce,4,Vegetable
202304,Oyster Mushroom,7.46,Vegetable
202304,Lotus root,4.97,Vegetable
202304,Garlic moss,9.44,Vegetable
202304,Onion,2.27,Vegetable
202304,Tomato,6.1,Vegetable
202304,Scallion,2.66,Vegetable
202304,Chinese chives,4.04,Vegetable
202304,White radish,1.66,Vegetable
202304,Rape,3,Vegetable
202304,Green pepper,5.57,Vegetable
202304,Cabbage,1.82,Vegetable
202304,Potato,3.42,Vegetable
202304,Garlic,7.04,Vegetable
202304,Cucumber,4.07,Vegetable
202304,Beans,9.87,Vegetable
202304,Mushroom,12.26,Vegetable
202304,Spinach,4.32,Vegetable
202304,Pumpkin,3.84,Vegetable
202304,Eggplant,5.09,Vegetable
202304,Zucchini,2.96,Vegetable
202304,Winter melon,2.39,Vegetable
202304,Celery,2.86,Vegetable
202304,Ginger,13.14,Vegetable
202304,Cauliflower,4.89,Vegetable
202303,Lotus root,5.36,Vegetable
202303,Spinach,5.31,Vegetable
202303,Ginger,10.65,Vegetable
202303,White radish,1.61,Vegetable
202303,Celery,3.09,Vegetable
202303,Chinese chives,4.98,Vegetable
202303,Tomato,5.54,Vegetable
202303,Scallion,3.02,Vegetable
202303,Zucchini,4.19,Vegetable
202303,Cucumber,5.65,Vegetable
202303,Pumpkin,3.93,Vegetable
202303,Garlic moss,10.94,Vegetable
202303,Glass lettuce,5.86,Vegetable
202303,Mushroom,12.26,Vegetable
202303,Cabbage,2.18,Vegetable
202303,Oyster Mushroom,7.34,Vegetable
202303,Cauliflower,5.21,Vegetable
202303,Onion,2.46,Vegetable
202303,Green pepper,7.57,Vegetable
202303,Eggplant,6.32,Vegetable
202303,Carrot,2.54,Vegetable
202303,Potato,3.33,Vegetable
202303,Garlic,6.67,Vegetable
202303,Winter melon,2.28,Vegetable
202303,Chinese cabbage,1.2,Vegetable
202303,Rape,4.52,Vegetable
202303,Beans,11.32,Vegetable
202303,Lettuce,3.74,Vegetable
202302,Mushroom,12.57,Vegetable
202302,Glass lettuce,7.99,Vegetable
202302,Lettuce,3.69,Vegetable
202302,Onion,2.53,Vegetable
202302,Ginger,10.55,Vegetable
202302,Carrot,2.55,Vegetable
202302,Cucumber,7,Vegetable
202302,Winter melon,2.11,Vegetable
202302,Tomato,4.81,Vegetable
202302,Beans,12.57,Vegetable
202302,Pumpkin,3.83,Vegetable
202302,Oyster Mushroom,7.91,Vegetable
202302,Chinese chives,7.05,Vegetable
202302,Cauliflower,5.02,Vegetable
202302,Garlic moss,10.11,Vegetable
202302,Garlic,6.85,Vegetable
202301,Garlic,6.86,Vegetable
202301,Onion,2.52,Vegetable
202301,Garlic moss,9.28,Vegetable
202301,Chinese chives,8.59,Vegetable
202302,Spinach,7.69,Vegetable
202301,Spinach,7.46,Vegetable
202302,Lotus root,6.45,Vegetable
202301,Lotus root,6.67,Vegetable
202301,Cucumber,7.91,Vegetable
202302,Rape,6.61,Vegetable
202301,Rape,5.8,Vegetable
202301,Pumpkin,3.68,Vegetable
202301,Lettuce,3.71,Vegetable
202301,Carrot,2.48,Vegetable
202301,Beans,13.39,Vegetable
202302,Potato,3.28,Vegetable
202301,Potato,3.04,Vegetable
202302,Green pepper,7.52,Vegetable
202301,Green pepper,6.66,Vegetable
202302,Chinese cabbage,1.23,Vegetable
202301,Chinese cabbage,1.24,Vegetable
202302,Eggplant,6.65,Vegetable
202301,Eggplant,6.03,Vegetable
202302,Cabbage,2.33,Vegetable
202301,Cabbage,1.98,Vegetable
202301,Cauliflower,5.1,Vegetable
202301,Tomato,4.7,Vegetable
202301,Ginger,9.97,Vegetable
202301,White radish,1.61,Vegetable
202301,Mushroom,12.59,Vegetable
202301,Winter melon,1.84,Vegetable
202302,Celery,3.28,Vegetable
202301,Celery,3.3,Vegetable
202301,Oyster Mushroom,7.62,Vegetable
202301,Glass lettuce,6.66,Vegetable
202301,Scallion,4.48,Vegetable
202302,Zucchini,5.49,Vegetable
202301,Zucchini,5.73,Vegetable
202212,Chinese chives,6.25,Vegetable
202212,Ginger,8.21,Vegetable
202212,Scallion,4.2,Vegetable
202212,White radish,1.49,Vegetable
202212,Cauliflower,3.25,Vegetable
202212,Tomato,4.36,Vegetable
202212,Potato,2.92,Vegetable
202212,Rape,3.83,Vegetable
202212,Oyster Mushroom,6.82,Vegetable
202212,Eggplant,4.75,Vegetable
202212,Celery,2.89,Vegetable
202212,Lettuce,2.85,Vegetable
202212,Green pepper,4.02,Vegetable
202212,Glass lettuce,4.31,Vegetable
202212,Cabbage,1.52,Vegetable
202212,Zucchini,4.39,Vegetable
202212,Spinach,5.42,Vegetable
202212,Beans,9.47,Vegetable
202212,Onion,2.42,Vegetable
202212,Garlic,6.5,Vegetable
202212,Garlic moss,8.43,Vegetable
202212,Mushroom,11.68,Vegetable
202212,Lotus root,6.09,Vegetable
202212,Cucumber,6.29,Vegetable
202212,Pumpkin,3.58,Vegetable
202212,Chinese cabbage,1.19,Vegetable
202212,Carrot,2.43,Vegetable
202212,Winter melon,1.77,Vegetable
202211,Rape,2.72,Vegetable
202211,Beans,6.87,Vegetable
202211,Pumpkin,3.44,Vegetable
202211,Green pepper,4.09,Vegetable
202211,Garlic,6.44,Vegetable
202211,Chinese cabbage,1.35,Vegetable
202211,Onion,2.36,Vegetable
202211,Zucchini,3.4,Vegetable
202211,Garlic moss,8.38,Vegetable
202211,Potato,2.84,Vegetable
202211,Cauliflower,3.07,Vegetable
202211,Cabbage,1.52,Vegetable
202211,Scallion,4.4,Vegetable
202211,Chinese chives,4.99,Vegetable
202211,Eggplant,3.83,Vegetable
202211,Cucumber,4.78,Vegetable
202211,Lettuce,3.07,Vegetable
202211,White radish,1.57,Vegetable
202211,Carrot,2.58,Vegetable
202211,Ginger,6.86,Vegetable
202211,Tomato,4.76,Vegetable
202211,Glass lettuce,3.69,Vegetable
202211,Mushroom,11.86,Vegetable
202211,Oyster Mushroom,5.92,Vegetable
202211,Lotus root,6.34,Vegetable
202211,Winter melon,1.76,Vegetable
202211,Celery,3.1,Vegetable
202211,Spinach,4.44,Vegetable
202210,Eggplant,4.01,Vegetable
202210,Spinach,6.02,Vegetable
202210,Winter melon,1.81,Vegetable
202210,Cucumber,3.87,Vegetable
202210,White radish,1.96,Vegetable
202210,Potato,2.66,Vegetable
202210,Carrot,2.61,Vegetable
202210,Celery,4.11,Vegetable
202210,Pumpkin,3.18,Vegetable
202210,Ginger,6.83,Vegetable
202210,Green pepper,5.75,Vegetable
202210,Cauliflower,4.74,Vegetable
202210,Scallion,5.35,Vegetable
202210,Glass lettuce,4.93,Vegetable
202210,Cabbage,2.07,Vegetable
202210,Garlic,6.73,Vegetable
202210,Garlic moss,8.43,Vegetable
202210,Lettuce,4.55,Vegetable
202210,Mushroom,12.39,Vegetable
202210,Beans,7.57,Vegetable
202210,Rape,3.16,Vegetable
202210,Oyster Mushroom,7.84,Vegetable
202210,Zucchini,3.75,Vegetable
202210,Chinese chives,5.32,Vegetable
202210,Tomato,5.37,Vegetable
202210,Onion,2.49,Vegetable
202210,Chinese cabbage,1.85,Vegetable
202210,Lotus root,6.82,Vegetable
202209,Potato,2.55,Vegetable
202209,Garlic moss,8.35,Vegetable
202209,Scallion,5.84,Vegetable
202209,Mushroom,12.75,Vegetable
202209,Lotus root,7.34,Vegetable
202209,Chinese cabbage,2.19,Vegetable
202209,Rape,4.2,Vegetable
202209,Green pepper,5.88,Vegetable
202209,White radish,2.08,Vegetable
202209,Oyster Mushroom,9.65,Vegetable
202209,Glass lettuce,6.53,Vegetable
202209,Lettuce,5.02,Vegetable
202209,Garlic,6.66,Vegetable
202209,Spinach,8.53,Vegetable
202209,Tomato,4.26,Vegetable
202209,Cauliflower,5.35,Vegetable
202209,Onion,2.42,Vegetable
202209,Celery,4.32,Vegetable
202209,Beans,8.73,Vegetable
202209,Cabbage,2.21,Vegetable
202209,Ginger,6.74,Vegetable
202209,Chinese chives,5.04,Vegetable
202209,Winter melon,1.86,Vegetable
202209,Cucumber,4.21,Vegetable
202209,Zucchini,3.94,Vegetable
202209,Carrot,2.63,Vegetable
202209,Pumpkin,2.84,Vegetable
202209,Eggplant,4.36,Vegetable
202208,Garlic moss,7.86,Vegetable
202208,Cabbage,1.95,Vegetable
202208,Winter melon,1.79,Vegetable
202208,Zucchini,3.05,Vegetable
202208,Green pepper,4.4,Vegetable
202208,Onion,2.39,Vegetable
202208,Beans,6.47,Vegetable
202208,Garlic,6.36,Vegetable
202208,Scallion,5.22,Vegetable
202208,Celery,3.89,Vegetable
202208,Lotus root,8.1,Vegetable
202208,Lettuce,3.77,Vegetable
202208,White radish,1.68,Vegetable
202208,Tomato,3.42,Vegetable
202208,Chinese cabbage,1.8,Vegetable
202208,Cauliflower,4.3,Vegetable
202208,Oyster Mushroom,9.75,Vegetable
202208,Glass lettuce,5.32,Vegetable
202208,Ginger,5.61,Vegetable
202208,Pumpkin,2.67,Vegetable
202208,Rape,4.18,Vegetable
202208,Chinese chives,5.09,Vegetable
202208,Mushroom,12.64,Vegetable
202208,Spinach,7.6,Vegetable
202208,Carrot,2.7,Vegetable
202208,Potato,2.57,Vegetable
202208,Eggplant,3.53,Vegetable
202208,Cucumber,4.97,Vegetable
202207,White radish,1.58,Vegetable
202207,Scallion,4.57,Vegetable
202207,Onion,2.36,Vegetable
202207,Green pepper,5.1,Vegetable
202207,White radish,1.58,Vegetable
202207,Zucchini,2.86,Vegetable
202207,Pumpkin,2.72,Vegetable
202207,Winter melon,1.88,Vegetable
202207,Eggplant,3.68,Vegetable
202207,Garlic moss,7.47,Vegetable
202207,Garlic,6.02,Vegetable
202207,Mushroom,12.17,Vegetable
202207,Chinese chives,4.42,Vegetable
202207,Oyster Mushroom,8.74,Vegetable
202207,Carrot,2.74,Vegetable
202207,Potato,2.46,Vegetable
202207,Celery,3.92,Vegetable
202207,Scallion,4.57,Vegetable
202207,Cauliflower,4.56,Vegetable
202207,Lotus root,9.46,Vegetable
202207,Beans,6.32,Vegetable
202207,Ginger,5.05,Vegetable
202207,Tomato,3.49,Vegetable
202207,Spinach,7.02,Vegetable
202207,Cucumber,4.36,Vegetable
202207,Chinese cabbage,1.64,Vegetable
202207,Rape,4.25,Vegetable
202206,Mushroom,11.69,Vegetable
202206,Celery,3.16,Vegetable
202206,Beans,5.92,Vegetable
202206,Chinese chives,3.49,Vegetable
202206,Lotus root,9.54,Vegetable
202206,Cauliflower,3.24,Vegetable
202206,Garlic moss,7.13,Vegetable
202206,Eggplant,3.59,Vegetable
202206,Oyster Mushroom,8.07,Vegetable
202206,Chinese cabbage,1.53,Vegetable
202206,Tomato,3.33,Vegetable
202206,Rape,2.61,Vegetable
202206,Carrot,2.85,Vegetable
202206,Potato,2.42,Vegetable
202206,Onion,2.26,Vegetable
202207,Glass lettuce,4.35,Vegetable
202206,Glass lettuce,3.32,Vegetable
202207,Lettuce,3.41,Vegetable
202206,Lettuce,2.96,Vegetable
202206,Scallion,3.96,Vegetable
202206,Spinach,4.87,Vegetable
202206,Zucchini,2.46,Vegetable
202206,White radish,1.58,Vegetable
202206,Cucumber,2.54,Vegetable
202206,Winter melon,2.2,Vegetable
202206,Garlic,5.7,Vegetable
202206,Ginger,4.8,Vegetable
202207,Cabbage,1.87,Vegetable
202206,Cabbage,1.57,Vegetable
202206,Pumpkin,3.16,Vegetable
202206,Green pepper,3.72,Vegetable
202205,Celery,3.7,Vegetable
202205,Tomato,5.26,Vegetable
202205,Beans,7.89,Vegetable
202205,White radish,1.83,Vegetable
202205,Eggplant,4.76,Vegetable
202205,Carrot,3.37,Vegetable
202205,Cucumber,3.22,Vegetable
202205,Lettuce,3.11,Vegetable
202205,Green pepper,4.53,Vegetable
202205,Cauliflower,3.57,Vegetable
202205,Ginger,4.99,Vegetable
202205,Mushroom,11.57,Vegetable
202205,Garlic moss,6.79,Vegetable
202205,Oyster Mushroom,7.49,Vegetable
202205,Scallion,4.19,Vegetable
202205,Chinese chives,3.57,Vegetable
202205,Zucchini,2.95,Vegetable
202205,Cabbage,1.93,Vegetable
202205,Rape,2.76,Vegetable
202205,Spinach,4.24,Vegetable
202205,Winter melon,3.18,Vegetable
202205,Garlic,6.25,Vegetable
202205,Glass lettuce,3.59,Vegetable
202205,Lotus root,7.57,Vegetable
202205,Pumpkin,4.08,Vegetable
202205,Onion,2.83,Vegetable
202205,Chinese cabbage,1.92,Vegetable
202205,Potato,2.71,Vegetable
202204,Celery,4.34,Vegetable
202204,Tomato,6.26,Vegetable
202204,Beans,10.65,Vegetable
202204,White radish,2.16,Vegetable
202204,Eggplant,6.03,Vegetable
202204,Carrot,3.3,Vegetable
202204,Cucumber,4.86,Vegetable
202204,Lettuce,3.52,Vegetable
202204,Green pepper,7.75,Vegetable
202204,Cauliflower,4.71,Vegetable
202204,Ginger,5.23,Vegetable
202204,Mushroom,11.57,Vegetable
202204,Garlic moss,8.52,Vegetable
202204,Oyster Mushroom,7.66,Vegetable
202204,Scallion,6.54,Vegetable
202204,Chinese chives,4.76,Vegetable
202204,Zucchini,3.99,Vegetable
202204,Cabbage,2.6,Vegetable
202204,Rape,3.58,Vegetable
202204,Spinach,4.64,Vegetable
202204,Winter melon,4.8,Vegetable
202204,Garlic,7.13,Vegetable
202204,Glass lettuce,4.78,Vegetable
202204,Lotus root,7.37,Vegetable
202204,Pumpkin,4.25,Vegetable
202204,Onion,3.13,Vegetable
202204,Chinese cabbage,2.89,Vegetable
202204,Potato,2.75,Vegetable
202203,Celery,4.33,Vegetable
202203,Tomato,7.09,Vegetable
202203,Beans,13.52,Vegetable
202203,White radish,1.84,Vegetable
202203,Eggplant,6.91,Vegetable
202203,Carrot,2.96,Vegetable
202203,Cucumber,6.62,Vegetable
202203,Lettuce,4.81,Vegetable
202203,Green pepper,8.69,Vegetable
202203,Cauliflower,4.57,Vegetable
202203,Ginger,5.39,Vegetable
202203,Mushroom,11.65,Vegetable
202203,Garlic moss,11.61,Vegetable
202203,Oyster Mushroom,6.89,Vegetable
202203,Scallion,6.8,Vegetable
202203,Chinese chives,6.39,Vegetable
202203,Zucchini,4.98,Vegetable
202203,Cabbage,2.63,Vegetable
202203,Rape,3.84,Vegetable
202203,Spinach,4.88,Vegetable
202203,Winter melon,3.83,Vegetable
202203,Garlic,7.32,Vegetable
202203,Glass lettuce,5.5,Vegetable
202203,Lotus root,7.14,Vegetable
202203,Pumpkin,3.54,Vegetable
202203,Onion,2.61,Vegetable
202203,Chinese cabbage,2.57,Vegetable
202203,Potato,2.38,Vegetable
202202,Celery,4.44,Vegetable
202202,Tomato,7.72,Vegetable
202202,Beans,11.92,Vegetable
202202,White radish,1.8,Vegetable
202202,Eggplant,6.48,Vegetable
202202,Carrot,3.33,Vegetable
202202,Cucumber,7.09,Vegetable
202202,Lettuce,4.95,Vegetable
202202,Green pepper,7.08,Vegetable
202202,Cauliflower,4.36,Vegetable
202202,Ginger,5.68,Vegetable
202202,Mushroom,12.11,Vegetable
202202,Garlic moss,10.06,Vegetable
202202,Oyster Mushroom,7.68,Vegetable
202202,Scallion,6.01,Vegetable
202202,Chinese chives,7.61,Vegetable
202202,Zucchini,4.25,Vegetable
202202,Cabbage,2.5,Vegetable
202202,Rape,3.98,Vegetable
202202,Spinach,6.21,Vegetable
202202,Winter melon,2.83,Vegetable
202202,Garlic,7.64,Vegetable
202202,Glass lettuce,5.48,Vegetable
202202,Lotus root,8.03,Vegetable
202202,Pumpkin,3.28,Vegetable
202202,Onion,2.51,Vegetable
202202,Chinese cabbage,2.07,Vegetable
202202,Potato,2.34,Vegetable
202201,Celery,4.09,Vegetable
202201,Tomato,8.15,Vegetable
202201,Beans,9.99,Vegetable
202201,White radish,1.89,Vegetable
202201,Eggplant,5.99,Vegetable
202201,Carrot,3.44,Vegetable
202201,Cucumber,6.79,Vegetable
202201,Lettuce,3.92,Vegetable
202201,Green pepper,6.48,Vegetable
202201,Cauliflower,3.99,Vegetable
202201,Ginger,5.8,Vegetable
202201,Mushroom,11.12,Vegetable
202201,Garlic moss,8.91,Vegetable
202201,Oyster Mushroom,6.88,Vegetable
202201,Scallion,5.71,Vegetable
202201,Chinese chives,6.29,Vegetable
202201,Zucchini,4.09,Vegetable
202201,Cabbage,2.63,Vegetable
202201,Rape,3.5,Vegetable
202201,Spinach,5.5,Vegetable
202201,Winter melon,2.84,Vegetable
202201,Garlic,7.7,Vegetable
202201,Glass lettuce,4.7,Vegetable
202201,Lotus root,6.88,Vegetable
202201,Pumpkin,3.18,Vegetable
202201,Onion,2.44,Vegetable
202201,Chinese cabbage,1.96,Vegetable
202201,Potato,2.32,Vegetable
202112,Celery,4.72,Vegetable
202112,Tomato,5.82,Vegetable
202112,Beans,9.04,Vegetable
202112,White radish,2.15,Vegetable
202112,Eggplant,5.61,Vegetable
202112,Carrot,3.35,Vegetable
202112,Cucumber,5.87,Vegetable
202112,Lettuce,3.66,Vegetable
202112,Green pepper,6.16,Vegetable
202112,Cauliflower,6.21,Vegetable
202112,Ginger,6.18,Vegetable
202112,Mushroom,10.93,Vegetable
202112,Garlic moss,8.61,Vegetable
202112,Oyster Mushroom,6.63,Vegetable
202112,Scallion,5.54,Vegetable
202112,Chinese chives,6.5,Vegetable
202112,Zucchini,4.04,Vegetable
202112,Cabbage,3.06,Vegetable
202112,Rape,3.85,Vegetable
202112,Spinach,6.07,Vegetable
202112,Winter melon,2.66,Vegetable
202112,Garlic,7.91,Vegetable
202112,Glass lettuce,5.35,Vegetable
202112,Lotus root,6.42,Vegetable
202112,Pumpkin,2.95,Vegetable
202112,Onion,2.59,Vegetable
202112,Chinese cabbage,2.07,Vegetable
202112,Potato,2.38,Vegetable
202111,Celery,5.92,Vegetable
202111,Tomato,5.17,Vegetable
202111,Beans,9.85,Vegetable
202111,White radish,2.58,Vegetable
202111,Eggplant,6.25,Vegetable
202111,Carrot,3.17,Vegetable
202111,Cucumber,7.22,Vegetable
